Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(40.90183, -118.54465)",57455,Antelope,Valid,H4,2012,40.90183,-118.54465,754
Found,"(40.89201, -118.55319)",57454,Mandalay Spring,Valid,L6,2012,40.89201,-118.55319,2854
Found,"(40.95465, -118.49693)",57453,Smokey Spring,Valid,H4,2011,40.95465,-118.49693,254
Found,"(34.82793, -118.1464)",57434,Rosamond,Valid,LL3,2012,34.82793,-118.1464,11.1
Found,"(39.86667, -106.88333)",57342,Burns,Valid,"Iron, IIIAB",2003,39.86667,-106.88333,18400
Found,"(36.28402, -96.43701)",57290,Keystone Lake,Valid,L5,2003,36.28402,-96.43701,787
Found,"(34.8197, -114.2761)",57175,Yucca 015,Valid,H-metal,2011,34.8197,-114.2761,3
Found,"(45.425, -101.097)",57160,Timber Lake,Valid,H3,2011,45.425,-101.097,8660
Found,"(34.81923, -114.27735)",57159,Yucca 017,Valid,H5,2011,34.81923,-114.27735,200
Found,"(34.82658, -114.27763)",57158,Yucca 016,Valid,H5,2011,34.82658,-114.27763,25.9
Found,"(34.21, -101.39)",56575,Sterley,Valid,"Pallasite, PMG",1950,34.21,-101.39,1724.8
Found,"(42.318, -90.221)",56566,Elizabeth,Valid,"Iron, IAB-ung",,42.318,-90.221,732
Found,"(43.603, -103.026)",56565,Fairburn,Valid,"Iron, IAB-ung",1907,43.603,-103.026,445
Found,"(39.91667, -101.2)",56564,Blakeman,Valid,L4,1983,39.91667,-101.2,113.7
Found,"(34.37718, -102.11672)",56555,Hart,Valid,CK3,2010,34.37718,-102.11672,966
Found,"(34.24216, -88.77594)",56551,Tupelo,Valid,EL6,2012,34.24216,-88.77594,280
Found,"(34.38063, -114.16705)",56393,Aubrey Hills,Valid,H6,2010,34.38063,-114.16705,560.8
Found,"(33.67248, -114.2917)",56392,Oldman Mountain,Valid,H5,2008,33.67248,-114.2917,198.96
Found,"(32.00584, -106.56028)",56391,Anthony Gap,Valid,L6,2011,32.00584,-106.56028,347.36
